old_path,new_path,leiras
projects/cenzura-xxl/003_cenzura_03.webp,04_projects/cenzura-xxl/cenzura_xxl_performer_blue_light.webp,Cenzúra XXL fellépő kék fényben
projects/cenzura-xxl/004_cenzura_04.webp,04_projects/cenzura-xxl/cenzura_xxl_crowd_blue_lights.webp,Cenzúra XXL közönség / kék fények
projects/cenzura-xxl/005_cenzura_05.webp,04_projects/cenzura-xxl/cenzura_xxl_red_closeup_stage.webp,Cenzúra XXL vörös közeli színpadkép
projects/hofi-tarr-bela/001_hofi_01.webp,04_projects/hofi-tarr-bela/hofi_tarr_bela_bw_dance_scene.webp,Hofi x Tarr Béla fekete-fehér táncjelenet
projects/hofi-tarr-bela/002_hofi_02.webp,04_projects/hofi-tarr-bela/hofi_tarr_bela_bw_graffiti_scene.webp,Hofi x Tarr Béla fekete-fehér graffiti/utca jelenet
projects/hofi-tarr-bela/003_hofi_03.webp,04_projects/hofi-tarr-bela/hofi_tarr_bela_smoke_street_scene.webp,Hofi x Tarr Béla utcai füstös jelenet
projects/hofi-tarr-bela/004_hofi_04.webp,04_projects/hofi-tarr-bela/hofi_tarr_bela_bw_smoke_street_wide.webp,Hofi x Tarr Béla fekete-fehér füstös utcakép
projects/hofi-tarr-bela/005_hofi_05.webp,04_projects/hofi-tarr-bela/hofi_tarr_bela_group_street_scene.webp,Hofi x Tarr Béla csoportos utcai jelenet
projects/insta-karuzel/001_karuzel_01.webp,04_projects/insta-karuzel/insta_karuzel_black_white_post.webp,Instagram karuzel: fekete-fehér poszt
projects/insta-karuzel/002_karuzel_02.webp,04_projects/insta-karuzel/insta_karuzel_nails_closeup.webp,Instagram karuzel: köröm / kéz közeli
projects/insta-karuzel/004_karuzel_04.webp,04_projects/insta-karuzel/insta_karuzel_interview_frame.webp,Instagram karuzel: interjú frame
projects/kepes-interjuk/001_kepes_01.webp,04_projects/kepes-interjuk/kepes_interjuk_two_women_event.webp,Képes interjúk: két nő eseményen
projects/kepes-interjuk/002_kepes_02.webp,04_projects/kepes-interjuk/kepes_interjuk_two_women_green_room.webp,Képes interjúk: két nő zöld háttér előtt
projects/kepes-interjuk/003_kepes_03.webp,04_projects/kepes-interjuk/kepes_interjuk_poster_frame.webp,Képes interjúk: poszteres frame
projects/kepes-interjuk/004_kepes_04.webp,04_projects/kepes-interjuk/kepes_interjuk_woman_cap_microphone.webp,Képes interjúk: nő sapkában mikrofonnal
projects/kepes-interjuk/005_kepes_05.webp,04_projects/kepes-interjuk/kepes_interjuk_two_people_dark_frame.webp,Képes interjúk: két ember sötét frame-ben
projects/melyviz-vvkriszti/001_melyviz_01.webp,04_projects/melyviz-vvkriszti/melyviz_vvkriszti_studio_wide.webp,Mélyvíz VV Kriszti: stúdió széles kép
projects/melyviz-vvkriszti/002_melyviz_02.webp,04_projects/melyviz-vvkriszti/melyviz_vvkriszti_interview_chair.webp,Mélyvíz VV Kriszti: interjú székben
projects/melyviz-vvkriszti/003_melyviz_03.webp,04_projects/melyviz-vvkriszti/melyviz_vvkriszti_closeup_face.webp,Mélyvíz VV Kriszti: közeli arc
projects/offline/002_offline_02.webp,04_projects/offline/offline_presentation_room.webp,Offline esemény: prezentáció / terem
projects/offline/004_offline_04.jpg,04_projects/offline/offline_culture_cross_section_panel.jpg,Offline esemény: Culture Cross Section panel
projects/offline/005_offline_05.webp,04_projects/offline/offline_panel_outdoor_sign.webp,Offline esemény: kültéri panel / felirat
projects/pogany-indulo/001_pogany_01.webp,04_projects/pogany-indulo/pogany_indulo_stage_portrait_blue.webp,Pogány Induló: színpadi portré kék fényben
projects/pogany-indulo/002_pogany_02.webp,04_projects/pogany-indulo/pogany_indulo_interview_poster_wide.webp,Pogány Induló: interjú poszterrel
projects/pogany-indulo/003_pogany_03.webp,04_projects/pogany-indulo/pogany_indulo_group_photo_stairs.webp,Pogány Induló: csoportkép lépcsőn
projects/pogany-indulo/004_pogany_04.webp,04_projects/pogany-indulo/pogany_indulo_stage_arms_out.webp,"Pogány Induló: színpad, kitárt karok"
projects/pogany-indulo/005_pogany_05.webp,04_projects/pogany-indulo/pogany_indulo_interview_blond_man.webp,Pogány Induló: interjú közeli
projects/spotlight/002_spotlight_02.webp,04_projects/spotlight/spotlight_portrait_pink_black.webp,Spotlight: portré pink-fekete grafikával
projects/spotlight/003_spotlight_03.jpg,04_projects/spotlight/spotlight_concert_silhouette.jpg,Spotlight: koncert sziluett
projects/spotlight/004_spotlight_04.webp,04_projects/spotlight/spotlight_bio_slide.webp,Spotlight: bio slide
